music_id,music_name,music_url,music_author,music_album,music_list_id
460514819,Seafoam,http://m10.music.126.net/20190509103429/efd26de89dcd25adfc3e0bb76e684e02/ymusic/4889/9dc7/2264/ec65f318e4c24d3d63f985ac0141bec4.mp3,Lave,Seafoam,956
1343027744,섬 (Queen of Diamonds),http://m10.music.126.net/20190509103435/cf07fd69073ac3b050fc48c35d8c2efe/ymusic/0e5f/545e/0e58/95c27c176fc4e712b95b92e4da76b85d.mp3,黑裙子,THIRSTY,956
16957735,Ok Pal,http://m10.music.126.net/20190509103442/3e5cb918389b2db31e9418e65ebbf159/ymusic/a7b8/9808/3b4b/9f9ec1578253258ba7964eee0d3e6563.mp3,M83,"Hurry Up, We're Dreaming.",956
17177380,Paradise,http://m10.music.126.net/20190509103448/8cdfa23366aeceabe8798516fefded11/ymusic/8a89/3fed/e989/0495464efb82c95c223fcfb667611d39.mp3,Coldplay,Paradise,956
26612933,Plastic Panorama,http://m10.music.126.net/20190509103454/23a641fcb992ee6f5e9ed0d1d5ca2963/ymusic/f8d3/66cc/1710/af9d681d64ef1e94ffbf283f9cd0d59a.mp3,Postiljonen,Skyer,956
28492994,Chances,http://m10.music.126.net/20190509103500/d19bcf75816db8e035f1aeb572c07754/ymusic/6bba/444f/39c8/3289ce84640f57e7834d9b229c1c5723.mp3,Minipop,Chances,956
27569931,Plastic Sea,http://m10.music.126.net/20190509103506/a68e6e7a207a07cd853c8179620c6ac9/ymusic/1904/945d/909f/337c2a22bacdad251509c4131cb80049.mp3,Minks,X-Rated Poetry,956
28409246,Coral and Gold,http://m10.music.126.net/20190509103513/b3f0d006bd098d94edf1da2d58e69d66/ymusic/911b/4426/1202/3be184f8c8e5c1273f2a42a285fe2ce7.mp3,The Pains of Being Pure at Heart,Days of Abandon,956
501220106,Almost Home,http://m10.music.126.net/20190509103519/303b720431cf7a31f9f23ae71a89c67a/ymusic/aefc/8deb/e87b/c2c2f54ee46b92da06a0953127b05c77.mp3,余佳运,Jony J,957
1345976337,一起逃命,http://m10.music.126.net/20190509103525/1e6fda7905379d2d560d37848e511433/ymusic/0308/0e52/0e0f/4bf820f00998aef7c5ce9ec86ee2be2e.mp3,太一,一起逃命,957
1353194608,今天也想见到你,http://m10.music.126.net/20190509103532/5abdd8506aff514841eba3da48144348/ymusic/0e08/555c/520f/9bfe66313eb611f54e2cee76223d76d1.mp3,焦迈奇,我的名字,957
407435011,我想,http://m10.music.126.net/20190509103538/46fc7a40a3bed68dbf493d09b3e19478/ymusic/8066/7852/37ca/c84819e4d47b9de1a4a107500915f9cf.mp3,余佳运,幸福三部曲,957
386542,拥抱,http://m10.music.126.net/20190509103544/c7318fe49d284ecc392d7aaca48064e2/ymusic/9753/49dc/c841/3f4bc6b0ebf399f322c6648b558e67fd.mp3,五月天,我们是五月天,957
1311319058,东西,http://m10.music.126.net/20190509103552/2b39182c6264318d8d7993434ec5bcec/ymusic/9cc1/3f9f/16e8/ce3f58a0768376f72746cdf9cd27bc7c.mp3,林俊呈,东西,957
521595445,Lutra,http://m10.music.126.net/20190509103558/0d46c2c5f4c091a16bf682d4b5796331/ymusic/e542/a8c4/c885/448b57036d4fe2f891f30817342e11bf.mp3,太一,Lutra,957
1315169726,了解(Knowing),http://m10.music.126.net/20190509103605/611c9b33f36a72f4dfe384ab0a8c98ce/ymusic/2921/bcdc/b025/cb2c13186ac966a9584f509918eef1ff.mp3,余佳运,了解(Knowing),957
1325898368,Ti Amo,http://m10.music.126.net/20190509103615/51c706a4083e001cbbbb30461586ab9b/ymusic/055e/0e08/5352/245d86357b9b7df8111cd837cdb20d84.mp3,艾福杰尼,楼兰,957
